//ID	File	Name	Image Name	Flag	ObjTypeID	Dummy	Dummy 2	1?	2?	3?	4?
104	runatktarget.par	Á¬Öé¼ıÃüÖĞ	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
105	yfire.par	Á¬Öé¼ıÊ©·Å	º£ÀË	0	0	0	1	0	1.0	0.0	-1.0
106	fallstar02.par	Á÷ĞÇ¼ıµØÃæÃüÖĞ	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
107	fallstar01.par	Á÷ĞÇ¼ıÈËÎïÊ©·Å	º£ÀË	0	0	0	1	0	1.0	0.0	-1.0
108	01000004.par	É¢Éäµ¯Ê©·Å	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
109	01020005.par	É¢Éäµ¯ÃüÖĞ	º£ÀË	0	0	0	1	0	1.0	0.0	-1.0
110	01020006.par	´©Í¸µ¯ÃüÖĞ	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
111	01010002.par	È¼ÉÕµ¯µØÃæÃüÖĞ	º£ÀË	0	0	0	1	0	1.0	0.0	-1.0
112	01030001.par	È¼ÉÕµ¯µØÃæ³ÖĞø	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
113	heallight.pa	´óÖÎÓúÊõÊ©·Å	º£ÀË	0	0	0	1	0	1.0	0.0	-1.0
114	01020007.par	´óÖÎÓúÊõÃüÖĞ	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
115	01050013.par	È¼ÉÕµ¯ÈËÎï³ÖĞø	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
116	01040024.par	»¢Ğ¥ÈËÎï³ÖĞø	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
117	spire01.par	¿ñ±©Ê©·Å	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
118	ragefire.par	¿ñ±©ÈËÎï³ÖĞø	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
119	01000007.par	Í¼ÌÚÕĞ»½Ê©·Å	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
120	01020008.par	Í¼ÌÚÕĞ»½ÈËÎïÃüÖ	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
121	hide01.par	ÒşÔÂÁ÷Ç±ĞĞÊõÊ©·	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
122	01000009.par	ÒÁºØ¹íÂÖÕ¶Ê©·Å	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
123	01040002.par	ÒÁºØ¹íÂÖÕ¶ÈËÎï³	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
124	01000010.par	ÒÁºØÁ÷±³´ÌÉ±Ê©·	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
125	01020009.par	ÒÁºØÁ÷±³´ÌÉ±ÈËÎ	º£ÀË	0	0	0	1	0	1.0	0.0	-1.0
126	01000011.par	ÒÁºØÁ÷´ÌÃ¤ÊõÊ©·	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
127	01040003.par	ÒÁºØÁ÷´ÌÃ¤ÊõÈË³	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
128	01020010.par	¼áÈÍÊõÈËÎïÃüÖĞ	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
129	01020011.par	±ùËª»¤¶ÜÈËÎïÃüÖ	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
130	critical.par	Ë«±¶ÉËº¦	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
131	01030006.par	ÊÜµ½ÉËº¦	º£ÀË	0	0	0	1	0	1.0	0.0	-1.0
132	01030007.par	Levelup	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
133	01030008.par	HP»Ö¸´	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
134	01030009.par	sp»Ö¸´	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
135	01040004.par	±ùËª»¤¶ÜÈËÎï³ÖĞ	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
136	01000012.par	»ØĞı¶Ü»÷Ê©·Å	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
137	01000013.par	´ÔÁÖ´©Ô½Ê©·Å	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
138	01040005.par	´ÔÁÖ´©Ô½ÈËÎï³ÖĞ	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
139	01000014.par	»ÛĞÇÇ¿»÷Ê©·Å	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
140	01020012.par	»ÛĞÇÇ¿»÷ÈËÎïÃüÖ	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
141	01000015.par	³èÎïÀíÁÆÊ©·Å	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
142	04000010.par	ÍÈ¾ÑÉä»÷ÊÍ·Å	º£ÀË	0	0	-2	-1	0	1.0	0.0	-1.0
143	01040006.par	ÍÈ¾Ñ³ÖĞø	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
144	01020013.par	ÍÈ¾ÑÃüÖĞ	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
145	01000017.par	»ğÑæÅçÉäÊ©·Å	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
146	01040007.par	»ğÑæÅçÉäÈËÎï³ÖĞ	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
147	01040008.par	±©Í·ÈËÎï³ÖĞø	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
148	01020014.par	»Ø¸´ÊõÈËÎïÃüÖĞ	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
149	01010003.par	´ó»Ø¸´ÊõµØÃæÃüÖ	º£ÀË	0	0	0	1	0	1.0	0.0	-1.0
150	01000018.par	ÁÒÑæÖ®ÒíÊ©·Å	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
151	01020015.par	ÁÒÑæÖ®ÒíÈËÎïÃüÖ	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
152	01040009.par	ÁÒÑæÖ®ÒíÈËÎï³ÖĞ	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
153	01020016.par	Ê¥»ğÖ®¹âÈËÎïÃüÖ	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
154	01040010.par	Ê¥»ğÖ®¹âÈËÎï³ÖĞ	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
155	01020017.par	ĞÄÁéÖ®»ğÈËÎïÃüÖ	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
156	01040011.par	ĞÄÁéÖ®»ğÈËÎï³ÖĞ	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
157	firelighting02.par	×çÖäÖ®»ğÊÍ·Å	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
158	fireghosth.par	×çÖäÖ®»ğÈËÎï³ÖĞ	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
159	angel.par	ÌìÊ¹»¤¶Ü	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
160	01000019.par	ÌìÊ¹»¤¶ÜÈËÎïÃüÖ	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
161	01040034.par	ÌìÊ¹»¤¶ÜÈËÎï³ÖĞ	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
162	01020020.par	Ê¥Ö°ÎÆÕÂÈËÎïÃüÖ	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
163	01040014.par	Ê¥Ö°ÎÆÕÂÈËÎï³ÖĞ	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
164	01020021.par	ÌìÊ¹ÆíÔ¸ÈËÎïÃüÖ	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
165	spahurt.par	»Ø¸´ÎÂÈªµØÃæ³ÖĞ	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
166	01040033.par	»Ø¸´ÎÂÈªÈËÎï³ÖĞ	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
167	01000020.par	ĞÒÔËÖ®¹âÊ©·Å	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
168	01020022.par	ĞÒÔËÖ®¹âÈËÎïÃüÖ	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
169	01040016.par	ĞÒÔËÖ®¹âÈËÎï³ÖĞ	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
170	01020040.par	·çÖ®ÁìÖ÷ÈËÎïÃüÖ	º£ÀË	0	0	0	1	0	1.0	0.0	-1.0
171	01020024.par	¼±ËÙ·ç±©ÈËÎïÃüÖ	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
172	01040017.par	¼±ËÙ·ç±©ÈËÎï³ÖĞ	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
173	01030003.par	ÉÁ¶ã±ÚÕÏµØÃæ³ÖĞ	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
174	01040018.par	ÉÁ¶ã±ÚÕÏÈËÎï³ÖĞ	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
175	feye.par	Ê¥ÑÛÖ®ÒíÊ©·Å	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
176	01000021.par	Ê¥ÑÛÖ®ÒíÈËÎï³ÖĞ	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
177	01020025.par	ÏÍÕß·âÓ¡ÈËÎïÃüÖ	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
178	01040020.par	ÏÍÕß·âÓ¡ÈËÎï³ÖĞ	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
179	shadow01.par	°µÓ°Ö®ÕÂµØÃæÃüÖ	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
180	shadowh.par	°µÓ°Ö®ÕÂÈËÎï³ÖĞ	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
181	01020027.par	Ê®×ÖÊø¸¿ÈËÎïÃüÖ	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
182	01040022.par	Ê®×ÖÊø¸¿ÈËÎï³ÖĞ	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
183	01000022.par	»Ø¸´ÌìÊ¹Ê©·Å	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
184	01010004.par	»Ø¸´ÌìÊ¹µØÃæÃüÖ	º£ÀË	0	0	0	1	0	1.0	0.0	-1.0
185	fireghostt.par	×çÖäÖ®»ğµØÃæÃüÖ	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
186	01000014.par	»ÃÓ°Õ¶Ê©·Å	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
187	bang02.par	ÖØ»÷Ê©·Å	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
188	01000025.par	ÊŞÍõÖ®È­Ê©·Å	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
189	01000026.par	±ù¶³¼ıÊ©·Å	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
190	hpushf.par	ĞÄÁé³å×²Ê©·Å	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
191	01000028.par	ĞÄÁéÖ®»ğÊ©·Å	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
192	01000029.par	·çÖ®ÁìÖ÷Ê©·Å	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
193	01000030.par	¼«ËÙ·ç±©Ê©·Å	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
194	angel1.par	ÌìÊ¹»¤¶ÜµÀ¾ßÊÍ·	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
195	01020028.par	»ÃÓ°Õ¶ÃüÖĞ	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
196	bang.par	ÖØ»÷ÃüÖĞ	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
197	01020030.par	ÊŞÍõÖ®È­ÃüÖĞ	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
198	poisont.par	¶¾±êÃüÖĞ	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
199	01020032.par	Âé±ÔÃüÖĞ	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
200	01020033.par	±ù¶³¼ıÃüÖĞ	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
201	01020034.par	ĞÄÁé³å×²ÃüÖĞ	º£ÀË	0	0	0	1	0	1.0	0.0	-1.0
202	01020035.par	ĞÄÁéÖ®»ğÃüÖĞ	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
203	01020036.par	¼±ËÙ·ç±©ÃüÖĞ	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
204	seal.par	ÌìÊ¹»¤¶ÜÃüÖĞ	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
205	01020038.par	ÏÍÕß·âÓ¡ÃüÖĞ	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
206	01040011.par	ĞÄÁéÖ®»ğ³ÖĞø	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
207	01040025.par	·çÖ®ÁìÖ÷³ÖĞø	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
208	01040035.par	¼±ËÙ·ç±©³ÖĞø	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
209	01040027.par	ÌìÊ¹»¤¶Ü³ÖĞø	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
210	01040028.par	¼¼ÄÜ½ûÖ¹³ÖĞø	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
211	barrierh.par	ĞÄÁéÆÁÕÏ³ÖĞø	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
212	01040030.par	±ù¶³¼ı³ÖĞø	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
213	01000032.par	Ó¥ÑÛÊÍ·Å	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
214	01040032.par	Ó¥ÑÛ³ÖĞø	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
215	01020044.par	Ó¥ÑÛÃüÖĞ	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
216	01050021.par	ÍÚ¿óÌØĞ§	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
217	01030010.par	ÆÕÍ¨µ¶¹â»ÃÓ°	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
218	swordlight02.par	µ¶¹â02	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
219	01000011.par	Ğ¡»Ø¸´ÊõÊÍ·Å	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
220	swordlightj.par	µ¶¹â	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
221	fushe.par	·øÉä	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
222	penhuo.par	Åç»ğ	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
223	shanguang.par	ÉÁ¹â	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
224	shihuac.par	Ê¯»¯ÈËÎï³ÖĞø	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
226	01010505.par	ÕÂÓã¼¼ÄÜÃüÖĞ	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
227	01010506.par	Õë´ÌÂüÍÓÂŞÃüÖĞ	º£ÀË	0	0	-2	-1	0	1.0	0.0	-1.0
229	01030006.par	·ÉĞÜÃ¨ÃüÖĞ	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
230	01010511.par	µØ¾«³¤ÀÏÃüÖĞ	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
231	01010510.par	Ë®¾«ÁéÃüÖĞ	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
232	01010513.par	ÕäÖé±´ÃüÖĞ	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
233	01010507.par	Ğ¡±ùÁúÃüÖĞ	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
234	01010508.par	´ó±ùÁúÃüÖĞ	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
235	01010514.par	ÉäË®±´ÃüÖĞ	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
236	firegush.par	¿ñ±©ÃüÖĞ	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
237	abysm02.par	ÉîÔ¨ÕÓÔóÊÍ·Å	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
238	abysm01.par	ÉîÔ¨ÕÓÔóµÀ¾ßÊÍ·	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
239	abysm03.par	ÉîÔ¨ÕÓÔóÃüÖĞ	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
240	abysm04.par	ÉîÔ¨ÕÓÔó³ÖĞø	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
241	spa.par	»Ø¸´ÎÂÈªÊÍ·Å	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
242	spaf.par	»Ø¸´ÎÂÈªµÀ¾ßÊÍ·	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
243	firelighting01.par	×çÖäÖ®»ğµÀ¾ßÊÍ·	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
244	shadowf01.par	°µÓ°Ö®ÕÂÊÍ·Å	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
245	shadowi.par	°µÓ°Ö®ÕÂµÀ¾ßÊÍ·	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
246	barrierf.par	ĞÄÁéÆÁÕÏÊÍ·Å	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
247	barrieri.par	ĞÄÁéÆÁÕÏµÀ¾ßÊÍ·	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
248	barriert.par	ĞÄÁéÆÁÕÏÃüÖĞ	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
249	poisonf.par	¶¾±êÊÍ·Å	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
250	poisonh.par	¶¾±ê³ÖĞø	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
251	dancet.par	¹íÎèÕ¶ÃüÖĞ	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
252	dancef.par	¹íÎèÕ¶ÊÍ·Å	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
253	danceh.par	¹íÎèÕ¶³ÖĞø	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
254	01000033.par	È¼ÉÕµ¯ÊÍ·Å	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
255	01000033(a).par	È¼ÉÕµ¯µÀ¾ßÊÍ·Å	º£ÀË	0	0	-2	-1	0	1.0	0.0	-1.0
256	01000016.par	±¬Í·µÀ¾ßÊÍ·Å	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
257	04000008.par	±¬Í·µÀ¾ßÊÍ·Å·¢É	º£ÀË	0	0	-2	-1	0	1.0	0.0	-1.0
258	01020013(a).par	±¬Í·ÃüÖĞ	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
259	01040007.par	ÊÖ¾ÑµÀ¾ß³ÖĞø	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
260	04000011.par	ÊÖ¾ÑµÀ¾ßÊÍ·Å·¢É	º£ÀË	0	0	-2	-1	0	1.0	0.0	-1.0
261	01020013(b).par	ÊÖ¾ÑÃüÖĞ	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
262	spurtice.par	Ñ©Å®ÅçËª	º£ÀË	0	0	-2	-1	0	1.0	0.0	-1.0
263	01060008.par	¹êÍõÆğÀËÊÜ»÷	º£ÀË	0	0	-2	-1	0	1.0	0.0	-1.0
264	01060006.par	ÒÅ¼£ÊØ»¤ÕßÊÜ»÷	º£ÀË	0	0	-2	-1	0	1.0	0.0	-1.0
265	cowfire.par	±´¿Ç³å»÷²¨	º£ÀË	0	0	-2	-1	0	1.0	0.0	-1.0
266	cowdust.par	±´¿Ç³å»÷³¾ÍÁ	º£ÀË	0	0	-2	-1	0	1.0	0.0	-1.0
267	cowtarget.par	±´¿Ç³å»÷ÊÜ»÷	º£ÀË	0	0	-2	-1	0	1.0	0.0	-1.0
268	spagh.par	»Ø¸´ÎÂÈªµØÃæ³ÖĞ	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
269	strik.par	À×»÷ÊÍ·Å	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
270	strhurt.par	À×»÷ÊÜ»÷	º£ÀË	0	0	-2	-1	0	1.0	0.0	-1.0
271	strc.par	À×»÷³ÖĞø	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
272	wind.par	ì«·çÊÍ·Å	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
273	whurt.par	ì«·çÃüÖĞ	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
274	windc.par	ì«·ç³ÖĞø	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
275	aglef.par	º£ÔåáŒ·Å	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
276	agle.par	º£ÔåÃüÖĞ	º£ÀË	0	0	-2	-1	0	1.0	0.0	-1.0
277	aglec.par	º£Ôå³ÖÀm	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
278	eddy.par	äöœuáŒ·Å	º£ÀË	0	0	-2	-1	0	1.0	0.0	-1.0
279	eddyhurt.par	äöœuÃüÖĞ	º£ÀË	0	0	-2	-1	0	1.0	0.0	-1.0
280	eddyc.par	äöœu³ÖÀm	º£ÀË	0	0	-2	-1	0	1.0	0.0	-1.0
281	fog.par	ÃÔìFáŒ·Å	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
282	foghurt.par	ÃÔìFÃüÖĞ	º£ÀË	0	0	-2	-1	0	1.0	0.0	-1.0
283	fogc.par	ÃÔìF³ÖÀm	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
284	cannon01.par	ÆÕÍ¨³h—áŒ·Å	º£ÀË	0	0	-2	-1	0	1.0	0.0	-1.0
285	obey.par	í˜ïLáŒ·Å	º£ÀË	0	0	-2	-1	0	1.0	0.0	-1.0
286	obeyhurt.par	í˜ïLÃüÖĞ	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
287	obeyc.par	í˜ïL³ÖÀm	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
288	levin.par	À×Ä»áŒ·Å	º£ÀË	0	0	-2	-1	0	1.0	0.0	-1.0
289	levinh.par	À×Ä»ÃüÖĞ	º£ÀË	0	0	-2	-1	0	1.0	0.0	-1.0
290	levinc.par	À×Ä»µØÃæÃüÖĞ	º£ÀË	0	0	-2	-1	0	1.0	0.0	-1.0
291	00000004.par	·çÇø	º£ÀË	0	0	-2	-1	0	1.0	0.0	-1.0
292	00000006.par	À×Çø	º£ÀË	0	0	-2	-1	0	1.0	0.0	-1.0
293	00000005.par	ÎíÇø	º£ÀË	0	0	-2	-1	0	1.0	0.0	-1.0
294	tiger.par	»¢Ğ¥ÊÍ·Å	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
295	tigerc.par	»¢Ğ¥³ÖĞø	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
296	icearrow.par	±ù¼ıÊÍ·Å	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
297	icearrowc.par	±ù¼ı³ÖĞø	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
298	parrow.par	¶¾¼ıÊÍ·Å	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
299	stoneshieldi.par	Ê¯¶ÜÊÍ·Å	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
300	stoneshieldt.par	Ê¯¶ÜÃüÖĞ	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
301	shijia.par	Ê¯¶Ü³ÖĞø	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
302	rousec.par	·ÜÆğ³ÖĞø	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
303	rouse.par	·ÜÆğÊÍ·Å	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
304	shield.par	ÆÆ¼×ÊÍ·Å	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
305	shieldh.par	ÆÆ¼×ÃüÖĞ	º£ÀË	0	0	0	-1	0	1.0	0.0	-1.0
