//ID	Name	Color	Required Item 0	Required Item 1	Required Item 2	Required Item 3	Required Gold	Model	Failed Model	For Lance?	For Carsise?	For Phyllis?	For Ami?
43	Hairdo 6	Blue	1807,1	1808,1	1802,5	1805,1	100000	2045	1999	1	0	0	0
44	Hairdo 6	Purple	1807,1	1808,1	1803,5	1805,1	100000	2046	1999	1	0	0	0
45	Hairdo 7	Black	1807,1	1808,1	4607,5	1806,1	100000	2006	1999	1	0	0	0
46	Hairdo 7	Red	1807,1	1808,1	1797,5	1806,1	100000	2047	1999	1	0	0	0
47	Hairdo 7	Orange	1807,1	1808,1	1798,5	1806,1	100000	2048	1999	1	0	0	0
48	Hairdo 7	Yellow	1807,1	1808,1	1799,5	1806,1	100000	2049	1999	1	0	0	0
49	Hairdo 7	Cyan	1807,1	1808,1	1800,5	1806,1	100000	2050	1999	1	0	0	0
50	Hairdo 7	Green	1807,1	1808,1	1801,5	1806,1	100000	2051	1999	1	0	0	0
51	Hairdo 7	Blue	1807,1	1808,1	1802,5	1806,1	100000	2052	1999	1	0	0	0
52	Hairdo 7	Purple	1807,1	1808,1	1803,5	1806,1	100000	2053	1999	1	0	0	0
53	Hairdo 8	Red	1807,1	1808,1	1797,5	1804,1	100000	2054	1999	1	0	0	0
54	Hairdo 8	Orange	1807,1	1808,1	1798,5	1804,1	100000	2055	1999	1	0	0	0
55	Hairdo 8	Yellow	1807,1	1808,1	1799,5	1804,1	100000	2056	1999	1	0	0	0
56	Hairdo 8	Cyan	1807,1	1808,1	1800,5	1804,1	100000	2057	1999	1	0	0	0
57	Hairdo 8	Green	1807,1	1808,1	1801,5	1804,1	100000	2058	1999	1	0	0	0
58	Hairdo 8	Blue	1807,1	1808,1	1802,5	1804,1	100000	2059	1999	1	0	0	0
59	Hairdo 8	Purple	1807,1	1808,1	1803,5	1804,1	100000	2007	1999	1	0	0	0
60	Hairdo 1	Black	1807,1	1809,1	4607,5	1805,1	100000	2062	2121	0	1	0	0
61	Hairdo 1	Red	1807,1	1809,1	1797,5	1805,1	100000	2071	2121	0	1	0	0
62	Hairdo 1	Orange	1807,1	1809,1	1798,5	1805,1	100000	2072	2121	0	1	0	0
63	Hairdo 1	Yellow	1807,1	1809,1	1799,5	1805,1	100000	2073	2121	0	1	0	0
64	Hairdo 1	Cyan	1807,1	1809,1	1800,5	1805,1	100000	2074	2121	0	1	0	0
65	Hairdo 1	Green	1807,1	1809,1	1801,5	1805,1	100000	2075	2121	0	1	0	0
66	Hairdo 1	Blue	1807,1	1809,1	1802,5	1805,1	100000	2076	2121	0	1	0	0
67	Hairdo 1	Purple	1807,1	1809,1	1803,5	1805,1	100000	2077	2121	0	1	0	0
68	Hairdo 2	Red	1807,1	1809,1	1797,5	1806,1	100000	2078	2121	0	1	0	0
69	Hairdo 2	Orange	1807,1	1809,1	1798,5	1806,1	100000	2079	2121	0	1	0	0
70	Hairdo 2	Yellow	1807,1	1809,1	1799,5	1806,1	100000	2063	2121	0	1	0	0
71	Hairdo 2	Cyan	1807,1	1809,1	1800,5	1806,1	100000	2080	2121	0	1	0	0
72	Hairdo 2	Green	1807,1	1809,1	1801,5	1806,1	100000	2081	2121	0	1	0	0
73	Hairdo 2	Blue	1807,1	1809,1	1802,5	1806,1	100000	2082	2121	0	1	0	0
74	Hairdo 2	Purple	1807,1	1809,1	1803,5	1806,1	100000	2083	2121	0	1	0	0
75	Hairdo 3	Red	1807,1	1809,1	1797,5	1804,1	100000	2084	2121	0	1	0	0
76	Hairdo 3	Orange	1807,1	1809,1	1798,5	1804,1	100000	2085	2121	0	1	0	0
77	Hairdo 3	Yellow	1807,1	1809,1	1799,5	1804,1	100000	2064	2121	0	1	0	0
78	Hairdo 3	Cyan	1807,1	1809,1	1800,5	1804,1	100000	2086	2121	0	1	0	0
79	Hairdo 3	Green	1807,1	1809,1	1801,5	1804,1	100000	2087	2121	0	1	0	0
80	Hairdo 3	Blue	1807,1	1809,1	1802,5	1804,1	100000	2088	2121	0	1	0	0
81	Hairdo 3	Purple	1807,1	1809,1	1803,5	1804,1	100000	2089	2121	0	1	0	0
82	Hairdo 4	Black	1807,1	1809,1	4607,5	1805,1	100000	2065	2121	0	1	0	0
83	Hairdo 4	Red	1807,1	1809,1	1797,5	1805,1	100000	2090	2121	0	1	0	0
84	Hairdo 4	Orange	1807,1	1809,1	1798,5	1805,1	100000	2091	2121	0	1	0	0
85	Hairdo 4	Yellow	1807,1	1809,1	1799,5	1805,1	100000	2092	2121	0	1	0	0
86	Hairdo 4	Cyan	1807,1	1809,1	1800,5	1805,1	100000	2093	2121	0	1	0	0
87	Hairdo 4	Green	1807,1	1809,1	1801,5	1805,1	100000	2094	2121	0	1	0	0
88	Hairdo 4	Blue	1807,1	1809,1	1802,5	1805,1	100000	2095	2121	0	1	0	0
89	Hairdo 4	Purple	1807,1	1809,1	1803,5	1805,1	100000	2096	2121	0	1	0	0
90	Hairdo 5	None	1807,1	1809,1	4607,5	1804,1	100000	2066	2121	0	1	0	0
91	Hairdo 5	Black	1807,1	1809,1	4607,5	1806,1	100000	2097	2121	0	1	0	0
92	Hairdo 5	Red	1807,1	1809,1	1797,5	1806,1	100000	2098	2121	0	1	0	0
93	Hairdo 5	Blue	1807,1	1809,1	1802,5	1806,1	100000	2099	2121	0	1	0	0
94	Hairdo 5	Cyan	1807,1	1809,1	1800,5	1806,1	100000	2100	2121	0	1	0	0
95	Hairdo 6	Black	1807,1	1809,1	4607,5	1804,1	100000	2067	2121	0	1	0	0
96	Hairdo 6	Red	1807,1	1809,1	1797,5	1804,1	100000	2101	2121	0	1	0	0
97	Hairdo 6	Orange	1807,1	1809,1	1798,5	1804,1	100000	2102	2121	0	1	0	0
98	Hairdo 6	Yellow	1807,1	1809,1	1799,5	1804,1	100000	2103	2121	0	1	0	0
99	Hairdo 6	Cyan	1807,1	1809,1	1800,5	1804,1	100000	2104	2121	0	1	0	0
100	Hairdo 6	Green	1807,1	1809,1	1801,5	1804,1	100000	2105	2121	0	1	0	0
101	Hairdo 6	Blue	1807,1	1809,1	1802,5	1804,1	100000	2106	2121	0	1	0	0
102	Hairdo 6	Purple	1807,1	1809,1	1803,5	1804,1	100000	2107	2121	0	1	0	0
103	Hairdo 7	Red	1807,1	1809,1	1797,5	1805,1	100000	2108	2121	0	1	0	0
104	Hairdo 7	Orange	1807,1	1809,1	1798,5	1805,1	100000	2109	2121	0	1	0	0
105	Hairdo 7	Yellow	1807,1	1809,1	1799,5	1805,1	100000	2110	2121	0	1	0	0
106	Hairdo 7	Cyan	1807,1	1809,1	1800,5	1805,1	100000	2111	2121	0	1	0	0
107	Hairdo 7	Green	1807,1	1809,1	1801,5	1805,1	100000	2112	2121	0	1	0	0
108	Hairdo 7	Blue	1807,1	1809,1	1802,5	1805,1	100000	2113	2121	0	1	0	0
109	Hairdo 7	Purple	1807,1	1809,1	1803,5	1805,1	100000	2068	2121	0	1	0	0
110	Hairdo 8	White	1807,1	1809,1	4610,5	1806,1	100000	2069	2121	0	1	0	0
111	Hairdo 8	Red	1807,1	1809,1	1797,5	1806,1	100000	2114	2121	0	1	0	0
112	Hairdo 8	Orange	1807,1	1809,1	1798,5	1806,1	100000	2115	2121	0	1	0	0
113	Hairdo 8	Yellow	1807,1	1809,1	1799,5	1806,1	100000	2116	2121	0	1	0	0
114	Hairdo 8	Cyan	1807,1	1809,1	1800,5	1806,1	100000	2117	2121	0	1	0	0
115	Hairdo 8	Green	1807,1	1809,1	1801,5	1806,1	100000	2118	2121	0	1	0	0
116	Hairdo 8	Blue	1807,1	1809,1	1802,5	1806,1	100000	2119	2121	0	1	0	0
117	Hairdo 8	Purple	1807,1	1809,1	1803,5	1806,1	100000	2120	2121	0	1	0	0
118	Hairdo 1	Brown	1807,1	1810,1	4609,5	1804,1	100000	2124	2182	0	0	1	0
119	Hairdo 1	Red	1807,1	1810,1	1797,5	1804,1	100000	2133	2182	0	0	1	0
120	Hairdo 1	Orange	1807,1	1810,1	1798,5	1804,1	100000	2134	2182	0	0	1	0
121	Hairdo 1	Yellow	1807,1	1810,1	1799,5	1804,1	100000	2135	2182	0	0	1	0
122	Hairdo 1	Cyan	1807,1	1810,1	1800,5	1804,1	100000	2136	2182	0	0	1	0
123	Hairdo 1	Green	1807,1	1810,1	1801,5	1804,1	100000	2137	2182	0	0	1	0
124	Hairdo 1	Blue	1807,1	1810,1	1802,5	1804,1	100000	2138	2182	0	0	1	0
125	Hairdo 1	Purple	1807,1	1810,1	1803,5	1804,1	100000	2139	2182	0	0	1	0
126	Hairdo 2	Red	1807,1	1810,1	1797,5	1805,1	100000	2140	2182	0	0	1	0
127	Hairdo 2	Orange	1807,1	1810,1	1798,5	1805,1	100000	2141	2182	0	0	1	0
128	Hairdo 2	Yellow	1807,1	1810,1	1799,5	1805,1	100000	2125	2182	0	0	1	0
129	Hairdo 2	Cyan	1807,1	1810,1	1800,5	1805,1	100000	2142	2182	0	0	1	0
130	Hairdo 2	Green	1807,1	1810,1	1801,5	1805,1	100000	2143	2182	0	0	1	0
131	Hairdo 2	Blue	1807,1	1810,1	1802,5	1805,1	100000	2144	2182	0	0	1	0
132	Hairdo 2	Purple	1807,1	1810,1	1803,5	1805,1	100000	2145	2182	0	0	1	0
133	Hairdo 3	Red	1807,1	1810,1	1797,5	1806,1	100000	2146	2182	0	0	1	0
134	Hairdo 3	Orange	1807,1	1810,1	1798,5	1806,1	100000	2147	2182	0	0	1	0
135	Hairdo 3	Yellow	1807,1	1810,1	1799,5	1806,1	100000	2148	2182	0	0	1	0
136	Hairdo 3	Cyan	1807,1	1810,1	1800,5	1806,1	100000	2149	2182	0	0	1	0
137	Hairdo 3	Green	1807,1	1810,1	1801,5	1806,1	100000	2150	2182	0	0	1	0
138	Hairdo 3	Blue	1807,1	1810,1	1802,5	1806,1	100000	2126	2182	0	0	1	0
139	Hairdo 3	Purple	1807,1	1810,1	1803,5	1806,1	100000	2151	2182	0	0	1	0
140	Hairdo 4	Red	1807,1	1810,1	1797,5	1804,1	100000	2127	2182	0	0	1	0
141	Hairdo 4	Orange	1807,1	1810,1	1798,5	1804,1	100000	2152	2182	0	0	1	0
142	Hairdo 4	Yellow	1807,1	1810,1	1799,5	1804,1	100000	2153	2182	0	0	1	0
143	Hairdo 4	Cyan	1807,1	1810,1	1800,5	1804,1	100000	2154	2182	0	0	1	0
144	Hairdo 4	Green	1807,1	1810,1	1801,5	1804,1	100000	2155	2182	0	0	1	0
145	Hairdo 4	Blue	1807,1	1810,1	1802,5	1804,1	100000	2156	2182	0	0	1	0
146	Hairdo 4	Purple	1807,1	1810,1	1803,5	1804,1	100000	2157	2182	0	0	1	0
147	Hairdo 5	Red	1807,1	1810,1	1797,5	1805,1	100000	2158	2182	0	0	1	0
148	Hairdo 5	Orange	1807,1	1810,1	1798,5	1805,1	100000	2159	2182	0	0	1	0
149	Hairdo 5	Yellow	1807,1	1810,1	1799,5	1805,1	100000	2160	2182	0	0	1	0
150	Hairdo 5	Cyan	1807,1	1810,1	1800,5	1805,1	100000	2161	2182	0	0	1	0
151	Hairdo 5	Green	1807,1	1810,1	1801,5	1805,1	100000	2162	2182	0	0	1	0
152	Hairdo 5	Blue	1807,1	1810,1	1802,5	1805,1	100000	2128	2182	0	0	1	0
153	Hairdo 5	Purple	1807,1	1810,1	1803,5	1805,1	100000	2163	2182	0	0	1	0
154	Hairdo 6	Red	1807,1	1810,1	1797,5	1806,1	100000	2164	2182	0	0	1	0
155	Hairdo 6	Orange	1807,1	1810,1	1798,5	1806,1	100000	2165	2182	0	0	1	0
156	Hairdo 6	Yellow	1807,1	1810,1	1799,5	1806,1	100000	2166	2182	0	0	1	0
157	Hairdo 6	Cyan	1807,1	1810,1	1800,5	1806,1	100000	2167	2182	0	0	1	0
158	Hairdo 6	Green	1807,1	1810,1	1801,5	1806,1	100000	2168	2182	0	0	1	0
159	Hairdo 6	Blue	1807,1	1810,1	1802,5	1806,1	100000	2169	2182	0	0	1	0
160	Hairdo 6	Purple	1807,1	1810,1	1803,5	1806,1	100000	2129	2182	0	0	1	0
161	Hairdo 7	Red	1807,1	1810,1	1797,5	1804,1	100000	2170	2182	0	0	1	0
162	Hairdo 7	Orange	1807,1	1810,1	1798,5	1804,1	100000	2171	2182	0	0	1	0
163	Hairdo 7	Yellow	1807,1	1810,1	1799,5	1804,1	100000	2172	2182	0	0	1	0
164	Hairdo 7	Cyan	1807,1	1810,1	1800,5	1804,1	100000	2173	2182	0	0	1	0
165	Hairdo 7	Green	1807,1	1810,1	1801,5	1804,1	100000	2174	2182	0	0	1	0
166	Hairdo 7	Blue	1807,1	1810,1	1802,5	1804,1	100000	2130	2182	0	0	1	0
167	Hairdo 7	Purple	1807,1	1810,1	1803,5	1804,1	100000	2175	2182	0	0	1	0
168	Hairdo 8	Red	1807,1	1810,1	1797,5	1805,1	100000	2176	2182	0	0	1	0
169	Hairdo 8	Orange	1807,1	1810,1	1798,5	1805,1	100000	2131	2182	0	0	1	0
170	Hairdo 8	Yellow	1807,1	1810,1	1799,5	1805,1	100000	2177	2182	0	0	1	0
171	Hairdo 8	Cyan	1807,1	1810,1	1800,5	1805,1	100000	2178	2182	0	0	1	0
172	Hairdo 8	Green	1807,1	1810,1	1801,5	1805,1	100000	2179	2182	0	0	1	0
173	Hairdo 8	Blue	1807,1	1810,1	1802,5	1805,1	100000	2180	2182	0	0	1	0
174	Hairdo 8	Purple	1807,1	1810,1	1803,5	1805,1	100000	2181	2182	0	0	1	0
175	Hairdo 1	Red	1807,1	1811,1	1797,5	1806,1	100000	2247	2271	0	0	0	1
176	Hairdo 1	Orange	1807,1	1811,1	1798,5	1806,1	100000	2291	2271	0	0	0	1
177	Hairdo 1	Yellow	1807,1	1811,1	1799,5	1806,1	100000	2248	2271	0	0	0	1
178	Hairdo 1	Cyan	1807,1	1811,1	1800,5	1806,1	100000	2249	2271	0	0	0	1
179	Hairdo 1	Green	1807,1	1811,1	1801,5	1806,1	100000	2250	2271	0	0	0	1
180	Hairdo 1	Blue	1807,1	1811,1	1802,5	1806,1	100000	2251	2271	0	0	0	1
181	Hairdo 1	Purple	1807,1	1811,1	1803,5	1806,1	100000	2252	2271	0	0	0	1
182	Hairdo 2	Red	1807,1	1811,1	1797,5	1804,1	100000	2253	2271	0	0	0	1
183	Hairdo 2	Orange	1807,1	1811,1	1798,5	1804,1	100000	2292	2271	0	0	0	1
184	Hairdo 2	Yellow	1807,1	1811,1	1799,5	1804,1	100000	2254	2271	0	0	0	1
185	Hairdo 2	Cyan	1807,1	1811,1	1800,5	1804,1	100000	2255	2271	0	0	0	1
186	Hairdo 2	Green	1807,1	1811,1	1801,5	1804,1	100000	2256	2271	0	0	0	1
187	Hairdo 2	Blue	1807,1	1811,1	1802,5	1804,1	100000	2257	2271	0	0	0	1
188	Hairdo 2	Purple	1807,1	1811,1	1803,5	1804,1	100000	2258	2271	0	0	0	1
189	Hairdo 3	Red	1807,1	1811,1	1797,5	1805,1	100000	2259	2271	0	0	0	1
190	Hairdo 3	Orange	1807,1	1811,1	1798,5	1805,1	100000	2293	2271	0	0	0	1
191	Hairdo 3	Yellow	1807,1	1811,1	1799,5	1805,1	100000	2260	2271	0	0	0	1
192	Hairdo 3	Cyan	1807,1	1811,1	1800,5	1805,1	100000	2261	2271	0	0	0	1
193	Hairdo 3	Green	1807,1	1811,1	1801,5	1805,1	100000	2262	2271	0	0	0	1
194	Hairdo 3	Blue	1807,1	1811,1	1802,5	1805,1	100000	2263	2271	0	0	0	1
195	Hairdo 3	Purple	1807,1	1811,1	1803,5	1805,1	100000	2264	2271	0	0	0	1
196	Hairdo 4	Red	1807,1	1811,1	1797,5	1806,1	100000	2265	2271	0	0	0	1
197	Hairdo 4	Orange	1807,1	1811,1	1798,5	1806,1	100000	2294	2271	0	0	0	1
198	Hairdo 4	Yellow	1807,1	1811,1	1799,5	1806,1	100000	2266	2271	0	0	0	1
199	Hairdo 4	Cyan	1807,1	1811,1	1800,5	1806,1	100000	2267	2271	0	0	0	1
200	Hairdo 4	Green	1807,1	1811,1	1801,5	1806,1	100000	2268	2271	0	0	0	1
201	Hairdo 4	Blue	1807,1	1811,1	1802,5	1806,1	100000	2269	2271	0	0	0	1
202	Hairdo 4	Purple	1807,1	1811,1	1803,5	1806,1	100000	2270	2271	0	0	0	1
203	Lance Trendy Hairdo 1	Red	1807,1	931,1	1797,20	1806,10	100000	2276	1999	1	0	0	0
204	Lance Trendy Hairdo 2	Green	1807,1	931,1	1801,20	1805,10	100000	2278	1999	1	0	0	0
205	Carsise Trendy Hairdo 1	Yellow	1807,1	932,1	1799,20	1806,10	100000	2280	2121	0	1	0	0
206	Carsise Trendy Hairdo 2	Black	1807,1	932,1	4607,20	1805,10	100000	2282	2121	0	1	0	0
207	Phyllis Trendy Hairdo 1	Purple	1807,1	933,1	1803,20	1806,10	100000	2284	2182	0	0	1	0
208	Phyllis Trendy Hairdo 2	Red	1807,1	933,1	1797,20	1805,10	100000	2286	2182	0	0	1	0
209	Ami Trendy Hairdo 1	Yellow	1807,1	934,1	1799,20	1804,10	100000	2287	2271	0	0	0	1
210	Ami Trendy Hairdo 2	Yellow	1807,1	934,1	1799,20	1805,10	100000	2288	2271	0	0	0	1
